herkunftsort;anzahl;anzahl in Prozent;weiblich;weiblich in Prozent;maennlich;maennlich in Prozent;entfernung in km
Duisburg;18150;6,3;8488;6,6;9662;6;23,3
Köln;13184;4,6;6063;4,7;7121;4,4;34,2
Essen;12203;4,2;4991;3,9;7212;4,5;26,4
Krefeld;9698;3,4;4348;3,4;5350;3,3;20,2
Mönchengladbach;9321;3,2;4072;3,2;5249;3,3;28,9
Wuppertal;8753;3;4075;3,2;4678;2,9;25,1
Mülheim an der Ruhr;5361;1,9;2220;1,7;3141;2;20,4
Solingen;5132;1,8;2486;1,9;2646;1,6;19,6
Oberhausen;4692;1,6;1935;1,5;2757;1,7;31
Bochum;3311;1,1;1226;1;2085;1,3;38,9
Dortmund;3204;1,1;1187;0,9;2017;1,3;55,8
Leverkusen;3008;1;1368;1,1;1640;1;24,9
Ratingen;13337;4,6;6594;5,1;6743;4,2;9,9
Hilden;7831;2,7;4072;3,2;3759;2,3;11,5
Erkrath;7136;2,5;3613;2,8;3523;2,2;8,4
Langenfeld (Rheinland);5348;1,8;2530;2;2818;1,8;17,2
Monheim am Rhein;5026;1,7;2385;1,9;2641;1,6;16,5
Neuss;17773;6,1;8646;6,7;9127;5,7;10,3
Meerbusch;8820;3,1;4693;3,6;4127;2,6;11,1
Kaarst;5558;1,9;2755;2,1;2803;1,7;14
Grevenbroich;4100;1,4;1968;1,5;2132;1,3;21,7
Dormagen;3585;1,2;1839;1,4;1746;1,1;14,6
Willich;4205;1,5;1935;1,5;2270;1,4;20,6
Viersen;2367;0,8;978;0,8;1389;0,9;31,5
Tönisvorst;1180;0,4;474;0,4;706;0,4;26,6
Kempen;1083;0,4;415;0,3;668;0,4;30,5
Nettetal;918;0,3;362;0,3;556;0,3;40,1
allen sonstigen Orten;85904;29,7;33914;26,4;51990;32,4;x

